Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.fhir-ig-teamone.json	3069	-	0	0	0	0	0	0	3	68	0	0	0	0	0	0	0	1	0	0	56	53	0	0	1	2	0	0
fsh-generated/resources/Patient-ImmunizationPatientExample.json	786	19	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-born-in-zambia.json	1622	17	0	0	0	0	0	27	0	46	0	0	1	0	0	0	0	0	0	0	60	1482	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-immunization-patient.json	3831	23	0	0	0	0	0	238	0	180	0	0	0	0	0	0	0	3	0	0	406	1159	0	0	0	10	0	1
